participants,item,score
26,18,-808.3333333
26,19,933.3333333
26,20,920
27,1,-576.6561818
27,2,486.6578182
27,3,-479.9912727
27,4,754.9862727
27,5,-228.3291818
27,6,-911.6500909
27,7,-706.6538182
27,8,658.3213636
27,9,288.3280909
27,10,708.3204545
27,11,-86.66509091
27,12,464.9915455
27,13,716.6536364
27,14,1234.977545
27,15,343.3270909
27,16,771.6526364
27,17,238.329
27,18,-6.666545455
27,19,-71.66536364
27,20,206.6629091
28,1,763.3333333
28,2,320
28,3,541.6666667
28,4,-321.6666667
28,5,663.3333333
28,6,695
28,7,111.6666667
28,8,416.6666667
28,9,1725
28,10,1183.333333
28,11,726.6666667
28,12,1601.666667
28,13,1298.333333
28,14,191.6666667
28,15,930
28,16,-160
28,17,216.6666667
28,18,416.6666667
28,19,1168.333333
28,20,-518.3333333
29,1,661.402
29,2,-194.922
29,3,1702.652
29,4,43.316
29,5,263.228
29,6,1884.246
29,7,-1131.214
29,8,-946.288
29,9,-2114.154
29,10,859.656
29,11,89.964
29,12,91.63
29,13,-1975.876
29,14,-2505.664
29,15,-1481.074
29,16,1477.742
29,17,982.94
29,18,-54.978
29,19,1627.682
29,20,-1182.86
30,1,-60
30,2,103.3333333
30,3,-198.3333333
30,4,-273.3333333
30,5,233.3333333
30,6,148.3333333
30,7,1370
30,8,15
30,9,381.6666667
30,10,-68.33333333
30,11,-273.3333333
30,12,-141.6666667
30,13,-1295
30,14,-16.66666667
30,15,625
30,16,-1045
30,17,958.3333333
30,18,1303.333333
30,19,425
30,20,86.66666667
31,1,896.6666667
31,2,883.3333333
31,3,435
31,4,708.3333333
31,5,-545
31,6,-103.3333333
31,7,-736.6666667
31,8,903.3333333
31,9,1228.333333
31,10,640
31,11,1303.333333
31,12,126.6666667
31,13,1051.666667
31,14,246.6666667
31,15,1285
31,16,-210
31,17,1091.666667
31,18,-376.6666667
31,19,1788.333333
31,20,240
32,1,901.6666667
32,2,-663.3333333
32,3,540
32,4,250
32,5,-220
32,6,598.3333333
32,7,18.33333333
32,8,-558.3333333
32,9,-1088.333333
32,10,180
32,11,171.6666667
32,12,-866.6666667
32,13,-466.6666667
32,14,-216.6666667
32,15,930
32,16,68.33333333
32,17,128.3333333
32,18,-596.6666667
32,19,750
32,20,586.6666667
33,1,0
33,2,-188.3333333
33,3,0
33,4,-131.6666667
33,5,-3.333333333
33,6,21.66666667
33,7,-621.6666667
33,8,-213.3333333
33,9,-256.6666667
33,10,300
33,11,0
33,12,146.6666667
33,13,-268.3333333
33,14,-403.3333333
33,15,0
33,16,-268.3333333
33,17,-663.3333333
33,18,0
33,19,-25
33,20,0
34,1,-663.3373535
34,2,1123.340141
34,3,-955.0057879
34,4,-750.0045455
34,5,1521.675889
34,6,230.0013939
34,7,86.66719192
34,8,-498.3363535
34,9,963.3391717
34,10,1098.33999
34,11,1363.341596
34,12,1030.006242
34,13,-175.0010606
34,14,1240.007515
34,15,461.6694646
34,16,395.0023939
34,17,1503.342444
34,18,563.3367475
34,19,1130.006848
34,20,1761.677343
35,1,1135
35,2,1068.333333
35,3,353.3333333
35,4,2318.333333
35,5,2158.333333
35,6,2206.666667
35,7,2058.333333
35,8,1343.333333
35,9,1635
35,10,1651.666667
35,11,845
35,12,2350
35,13,2070
35,14,666.6666667
35,15,986.6666667
35,16,2245
35,17,1305
35,18,2045
35,19,1701.666667
35,20,1391.666667
36,1,610
36,2,215
36,3,-183.3333333
36,4,593.3333333
36,5,568.3333333
36,6,1311.666667
36,7,746.6666667
36,8,643.3333333
36,9,-8.333333333
36,10,-570
36,11,163.3333333
36,12,113.3333333
36,13,-198.3333333
36,14,1278.333333
36,15,-720
36,16,1070
36,17,1111.666667
36,18,246.6666667
36,19,956.6666667
36,20,1533.333333
37,1,241.6681313
37,2,0
37,3,336.6687071
37,4,-13.33341414
37,5,-183.3344444
37,6,-215.001303
37,7,281.6683737
37,8,350.0021212
37,9,210.0012727
37,10,-146.6675556
37,11,-1303.341232
37,12,608.3370202
37,13,-253.3348687
37,14,-210.0012727
37,15,1025.006212
37,16,293.3351111
37,17,463.3361414
37,18,193.3345051
37,19,136.6674949
37,20,263.3349293
38,1,-951.6724343
38,2,-1121.673465
38,3,-83.33383838
38,4,303.3351717
38,5,508.3364141
38,6,-206.6679192
38,7,-278.3350202
38,8,-468.3361717
38,9,-96.66725253
38,10,338.3353838
38,11,-370.0022424
38,12,1876.67804
38,13,298.3351414
38,14,-246.6681616
38,15,943.3390505
38,16,493.3363232
38,17,-416.6691919
38,18,-166.6676768
38,19,1311.674616
38,20,551.6700101
39,1,-175
39,2,291.6666667
39,3,0
39,4,0
39,5,255
39,6,73.33333333
39,7,171.6666667
39,8,158.3333333
39,9,-401.6666667
39,10,55
39,11,-338.3333333
39,12,-353.3333333
39,13,340
39,14,-311.6666667
39,15,525
39,16,478.3333333
39,17,-71.66666667
39,18,-676.6666667
39,19,-326.6666667
39,20,221.6666667
40,1,936.6609899
40,2,-49.99969697
40,3,-671.662596
40,4,1726.656202
40,5,-176.665596
40,6,249.9984848
40,7,729.9955758
40,8,1106.65996
40,9,1279.992242
40,10,424.9974242
40,11,-383.3310101
40,12,-769.9953333
40,13,-1446.657899
40,14,719.9956364
40,15,-544.996697
40,16,-364.9977879
40,17,53.3330101
40,18,668.3292828
40,19,371.6644141
40,20,251.6651414
